,Heroes,(<2K MMR) PickRate(%),(2K-3K MMR) PickRate(%),(2K-3K MMR) WinRate(%),(3K-4K MMR) PickRate(%),(3K-4K MMR) WinRate(%),(4K-5K MMR) PickRate(%),(4K-5K MMR) WinRate(%),(>5K MMR) PickRate(%),(>5K MMR) WinRate(%),Heroes.1,(>2K MMR) KDA Ratio,(>2K MMR) Avg Match,(2K-3K MMR) KDA Ratio,(2K-3K) Avg Match,(3K-4K MMR) KDA Ratio,(3K-4K MMR) Avg Match,(4K-5K MMR) KDA Ratio,(4K-5K MMR) Avg Match,(<5K MMR) KDA Ratio,(<5K MMR) Avg Match
63,Batrider,0.85%,0.80%,39.54%,0.76%,39.84%,0.73%,41.42%,1.02%,45.91%,Batrider,2.16,41:36,2.3,40:58,2.42,40:16,2.56,39:16,2.88,36:44
64,Chen,1.03%,0.99%,49.51%,1.14%,52.18%,1.70%,52.20%,2.40%,55.32%,Chen,2.42,39:44,2.68,39:10,2.86,37:52,2.98,37:07,3.1,34:36
65,Spectre,15.72%,17.89%,55.03%,19.20%,54.15%,20.30%,53.23%,21.92%,52.88%,Spectre,4.46,42:36,4.73,42:06,4.86,41:17,4.95,40:16,5.07,37:51
66,Ancient Apparition,8.34%,9.93%,52.73%,10.92%,52.58%,11.81%,52.09%,12.96%,51.76%,Ancient Apparition,2.7,43:13,2.78,42:52,2.77,42:04,2.75,41:06,2.7,38:55
67,Doom,2.73%,2.65%,42.02%,2.55%,41.73%,2.52%,42.37%,2.75%,44.41%,Doom,2.19,42:16,2.26,41:50,2.28,40:54,2.33,39:57,2.34,37:23
68,Ursa,6.51%,6.38%,47.96%,6.62%,48.40%,6.83%,49.32%,6.55%,48.82%,Ursa,2.67,41:46,3.05,41:32,3.19,40:52,3.27,39:49,3.34,37:43
69,Spirit Breaker,24.72%,26.66%,52.39%,26.59%,52.38%,25.28%,52.44%,21.00%,52.53%,Spirit Breaker,3.35,41:42,3.41,41:12,3.43,40:24,3.41,39:15,3.37,37:01
70,Gyrocopter,3.65%,4.31%,46.52%,4.01%,46.75%,3.57%,47.38%,3.07%,47.65%,Gyrocopter,2.54,41:51,2.67,41:16,2.7,40:24,2.74,39:03,2.8,36:39
71,Alchemist,3.16%,3.04%,46.31%,3.02%,48.05%,2.93%,48.10%,3.05%,49.17%,Alchemist,2.41,41:12,2.65,40:34,2.81,39:57,2.87,39:00,2.9,36:38
72,Invoker,19.28%,20.00%,48.43%,20.14%,49.44%,20.12%,50.27%,19.82%,50.39%,Invoker,3.2,42:12,3.4,41:48,3.49,41:04,3.55,40:03,3.52,37:46
73,Silencer,12.38%,11.69%,52.38%,9.66%,51.52%,7.89%,51.01%,5.51%,49.83%,Silencer,2.56,42:04,2.6,41:37,2.59,40:44,2.59,39:36,2.52,37:35
74,Outworld Destroyer,7.12%,8.65%,52.36%,9.62%,52.31%,10.12%,51.44%,9.36%,50.52%,Outworld Destroyer,3.06,41:45,3.24,41:19,3.24,40:29,3.18,39:21,3.09,37:15
75,Lycan,0.93%,0.75%,49.16%,0.71%,49.32%,0.75%,52.30%,1.01%,52.34%,Lycan,2.96,39:24,3.41,38:52,3.66,37:50,4.05,37:18,4.38,34:47
76,Brewmaster,1.77%,1.92%,47.25%,2.50%,48.26%,3.20%,49.16%,4.90%,49.50%,Brewmaster,2.97,41:12,3.01,40:53,3.02,40:13,3.1,39:14,3.18,36:45
77,Shadow Demon,1.73%,2.22%,46.30%,2.76%,47.67%,3.15%,47.29%,3.66%,47.58%,Shadow Demon,2.29,42:13,2.43,41:47,2.46,41:07,2.44,40:10,2.35,37:35
78,Lone Druid,3.70%,4.35%,55.12%,5.35%,55.73%,6.42%,55.56%,8.39%,55.32%,Lone Druid,3.24,38:54,3.41,38:23,3.51,37:41,3.56,36:50,3.67,34:40
79,Chaos Knight,16.60%,17.50%,54.81%,19.34%,54.96%,21.43%,55.30%,25.04%,54.84%,Chaos Knight,3.09,40:34,3.27,40:15,3.35,39:33,3.42,38:38,3.48,36:30
